1,detect if there any trying to exploit,"(?:'|"")"
2,Detects common comment types,"(?:--[^\n]*$)|(?:\<!-|-->)|(?:[^*]\/\*|\*\/[^*])|(?:(?:[\W\d]#|--|{)$)|(?:\/{3,}.*$)|(?:<!\[\W)|(?:\]!>)"
1,Detects basic SQL authentication bypass attempts 2/3,"(?:(?:[;]+|(<[?%](?:php)?)).*(?:define|eval|file_get_contents|include|require|require_once|set|shell_exec|phpinfo|system|passthru|preg_\w+|execute)\s*[""(@])"
2,Finds html breaking injections including whitespace attacks,"(?:""[^""]*[^-]?>)|(?:[^\w\s]\s*\/>)|(?:>"")"
2,Detects JavaScript cookie stealing and redirection attempts,(?:[^:\s\w]+\s*[^\w\/](href|protocol|host|hostname|pathname|hash|port|cookie)[^\w])
2,Detects JavaScript object properties and methods,"([^*:\s\w,.\/?+-]\s*)?(?<![a-z]\s)(?<![a-z\/_@])(\s*return\s*)?(?:hash|name|href|navigateandfind|source|pathname|close|constructor|port|protocol|assign|replace|back|forward|document|ownerdocument|window|top|this|self|parent|frames|_?content|date|cookie|innerhtml|innertext|csstext+?|outerhtml|print|moveby|resizeto|createstylesheet|stylesheets)(?(1)[^\w%""]|(?:\s*[^@\/\s\w%.+\-]))"
1,Detects MySQL comment-/space-obfuscated injections and backtick termination,"(?:,.*[)\da-f""]""(?:"".*""|\Z|[^""]+))|(?:\Wselect.+\W*from)|((?:select|create|rename|truncate|load|alter|delete|update|insert|desc)\s*\(\s*space\s*\()"
2,Detects very basic XSS probings 4,"(?:,\s*(?:alert|showmodaldialog|eval)\s*,)|(?::\s*eval\s*[^\s])|([^:\s\w,.\/?+-]\s*)?(?<![a-z\/_@])(\s*return\s*)?(?:(?:document\s*\.)?(?:.+\/)?(?:alert|eval|msgbox|showmod(?:al|eless)dialog|showhelp|prompt|write(?:ln)?|confirm|dialog|open))\s*(?:[^.a-z\s\-]|(?:\s*[^\s\w,.@\/+-]))|(?:java[\s\/]*\.[\s\/]*lang)|(?:\w\s*=\s*new\s+\w+)|(?:&\s*\w+\s*\)[^,])|(?:\+[\W\d]*new\s+\w+[\W\d]*\+)|(?:document\.\w)"
1,Detects classic SQL injection probings 2/2,"(?:""\s*\*.+(?:or|id)\W*""\d)|(?:\^"")|(?:^[\w\s""-]+(?<=and\s)(?<=or\s)(?<=xor\s)(?<=nand\s)(?<=not\s)(?<=\|\|)(?<=\&\&)\w+\()|(?:""[\s\d]*[^\w\s]+\W*\d\W*.*[""\d])|(?:""\s*[^\w\s?]+\s*[^\w\s]+\s*"")|(?:""\s*[^\w\s]+\s*[\W\d].*(?:#|--))|(?:"".*\*\s*\d)|(?:""\s*or\s[^\d]+[\w-]+.*\d)|(?:[()*<>%+-][\w-]+[^\w\s]+""[^,])"
1,"Detects MySQL comments, conditions and ch(a)r injections","(?:\)\s*when\s*\d+\s*then)|(?:""\s*(?:#|--|{))|(?:\/\*!\s?\d+)|(?:ch(?:a)?r\s*\(\s*\d)|(?:(?:(n?and|x?or|not)\s+|\|\||\&\&)\s*\w+\()"
1,Detects conditional SQL injection attempts,(?:[\s()]case\s*\()|(?:\)\s*like\s*\()|(?:having\s*[^\s]+\s*[^\w\s])|(?:if\s?\([\d\w]\s*[=<>~])
1,Detects classic SQL injection probings 1/2,"(?:""\s*or\s*""?\d)|(?:\\x(?:23|27|3d))|(?:^.?""$)|(?:(?:^[""\\]*(?:[\d""]+|[^""]+""))+\s*(?:n?and|x?or|not|\|\||\&\&)\s*[\w""[+&!@(),.-])|(?:[^\w\s]\w+\s*[|-]\s*""\s*\w)|(?:@\w+\s+(and|or)\s*[""\d]+)|(?:@[\w-]+\s(and|or)\s*[^\w\s])|(?:[^\w\s:]\s*\d\W+[^\w\s]\s*"".)|(?:\Winformation_schema|table_name\W)"
1,Detects basic SQL authentication bypass attempts 1/3,"(?:\d""\s+""\s+\d)|(?:^admin\s*""|(\/\*)+""+\s?(?:--|#|\/\*|{)?)|(?:""\s*or[\w\s-]+\s*[+<>=(),-]\s*[\d""])|(?:""\s*[^\w\s]?=\s*"")|(?:""\W*[+=]+\W*"")|(?:""\s*[!=|][\d\s!=+-]+.*[""(].*$)|(?:""\s*[!=|][\d\s!=]+.*\d+$)|(?:""\s*like\W+[\w""(])|(?:\sis\s*0\W)|(?:where\s[\s\w\.,-]+\s=)|(?:""[<>~]+"")"
1,Detects basic SQL authentication bypass attempts 3/3,"(?:in\s*\(+\s*select)|(?:(?:n?and|x?or|not |\|\||\&\&)\s+[\s\w+]+(?:regexp\s*\(|sounds\s+like\s*""|[=\d]+x))|(""\s*\d\s*(?:--|#))|(?:""[%&<>^=]+\d\s*(=|or))|(?:""\W+[\w+-]+\s*=\s*\d\W+"")|(?:""\s*is\s*\d.+""?\w)|(?:""\|?[\w-]{3,}[^\w\s.,]+"")|(?:""\s*is\s*[\d.]+\s*\W.*"")"
1,Detects concatenated basic SQL injection and SQLLFI attempts,"(?:[\d\W]\s+as\s*[""\w]+\s*from)|(?:^[\W\d]+\s*(?:union|select|create|rename|truncate|load|alter|delete|update|insert|desc))|(?:(?:select|create|rename|truncate|load|alter|delete|update|insert|desc)\s+(?:(?:group_)concat|char|load_file)\s?\(?)|(?:end\s*\);)|(""\s+regexp\W)|(?:[\s(]load_file\s*\()"
1,Detects chained SQL injection attempts 1/2,"(?:@.+=\s*\(\s*select)|(?:\d+\s*or\s*\d+\s*[\-+])|(?:\/\w+;?\s+(?:having|and|or|select)\W)|(?:\d\s+group\s+by.+\()|(?:(?:;|#|--)\s*(?:drop|alter))|(?:(?:;|#|--)\s*(?:update|insert)\s*\w{2,})|(?:[^\w]SET\s*@\w+)|(?:(?:n?and|x?or|not |\|\||\&\&)[\s(]+\w+[\s)]*[!=+]+[\s\d]*[""=()])"
1,Detects chained SQL injection attempts 2/2,"(?:""\s+and\s*=\W)|(?:\(\s*select\s*\w+\s*\()|(?:\*\/from)|(?:\+\s*\d+\s*\+\s*@)|(?:\w""\s*(?:[-+=|@]+\s*)+[\d(])|(?:coalesce\s*\(|@@\w+\s*[^\w\s])|(?:\W!+""\w)|(?:"";\s*(?:if|while|begin))|(?:""[\s\d]+=\s*\d)|(?:order\s+by\s+if\w*\s*\()|(?:[\s(]+case\d*\W.+[tw]hen[\s(])"
1,Detects SQL benchmark and sleep injection attempts including conditional queries,(?:(select|;)\s+(?:benchmark|if|sleep)\s*?\(\s*\(?\s*\w+)
1,Detects MySQL UDF injection and other data/structure manipulation attempts,"(?:create\s+function\s+\w+\s+returns)|(?:;\s*(?:select|create|rename|truncate|load|alter|delete|update|insert|desc)\s*[\[(]?\w{2,})"
1,Detects MySQL charset switch and MSSQL DoS attempts,"(?:alter\s*\w+.*character\s+set\s+\w+)|("";\s*waitfor\s+time\s+"")|(?:"";.*:\s*goto)"
1,Detects MySQL and PostgreSQL stored procedure/function injections,(?:procedure\s+analyse\s*\()|(?:;\s*(declare|open)\s+[\w-]+)|(?:create\s+(procedure|function)\s*\w+\s*\(\s*\)\s*-)|(?:declare[^\w]+[@#]\s*\w+)|(exec\s*\(\s*@)
1,"Detects Postgres pg_sleep injection, waitfor delay attacks and database shutdown attempts","(?:select\s*pg_sleep)|(?:waitfor\s*delay\s?""+\s?\d)|(?:;\s*shutdown\s*(?:;|--|#|\/\*|{))"
1,Detects MSSQL code execution and information gathering attempts,"(?:\sexec\s+xp_cmdshell)|(?:""\s*!\s*[""\w])|(?:from\W+information_schema\W)|(?:(?:(?:current_)?user|database|schema|connection_id)\s*\([^\)]*)|(?:"";?\s*(?:select|union|having)\s*[^\s])|(?:\wiif\s*\()|(?:exec\s+master\.)|(?:union select @)|(?:union[\w(\s]*select)|(?:select.*\w?user\()|(?:into[\s+]+(?:dump|out)file\s*"")"
1,"Detects MATCH AGAINST, MERGE, EXECUTE IMMEDIATE and HAVING injections","(?:merge.*using\s*\()|(execute\s*immediate\s*"")|(?:\W+\d*\s*having\s*[^\s\-])|(?:match\s*[\w(),+-]+\s*against\s*\()"
1,Finds basic MongoDB SQL injection attempts,(?:\[\$(?:ne|eq|lte?|gte?|n?in|mod|all|size|exists|type|slice|or)\])
1,Detects blind sqli tests using sleep() or benchmark(),"(?:(sleep\((\s*)(\d*)(\s*)\)|benchmark\((.*)\,(.*)\)))"
2,Finds attribute breaking injections including whitespace attacks,"(?:""+.*[<=]\s*""[^""]+"")|(?:""\s*\w+\s*=)|(?:>\w=\/)|(?:#.+\)[""\s]*>)|(?:""\s*(?:src|style|on\w+)\s*=\s*"")|(?:[^""]?""[,;\s]+\w*[\[\(])"
2,Detects obfuscated JavaScript script injections,"(?:=\s*[$\w]\s*[\(\[])|(?:\(\s*(?:this|top|window|self|parent|_?content)\s*\))|(?:src\s*=s*(?:\w+:|\/\/))|(?:\w+\[(""\w+""|\w+\|\|))|(?:[\d\W]\|\|[\d\W]|\W=\w+,)|(?:\/\s*\+\s*[a-z""])|(?:=\s*\$[^([]*\()|(?:=\s*\(\s*"")"
2,Detects possible event handlers,(?:[^\w\s=]on(?!g\&gt;)\w+[^=_+-]*=[^$]+(?:\W|\&gt;)?)
1,sql injection attempts,"(?:'\s*or\s*'\s*'\s*\W*)|(?:'\s*or\s*('\s*'\s*\W*|\d*\W*\d*\W*))|(?:\""\s*\)\s*or\s*\(\""\w\""\W\""\w\s*)|(?:'\s*or\s*'\s*\w\s*'\s*\W\s*'\s*\w\s*'\s*.*)|(?:.*'|"".*or.*)|(?:\""\s*\/\*.*)|(?:\""\).*)|(?:'\^'.*)|(?:.*or\s* true.*)|(?:""\s*-\s*"".*)"
1,"Looking for basic sql injection. Common attack string for mysql, oracle and others",(?:(union(.*)select(.*)from))
2,Finds unquoted attribute breaking injections,"(?:^>[\w\s]*<\/?\w{2,}>)"
2,"Detects url-, name-, JSON, and referrer-contained payload attacks",(?:[+\/]\s*name[\W\d]*[)+])|(?:;\W*url\s*=)|(?:[^\w\s\/?:>]\s*(?:location|referrer|name)\s*[^\/\w\s-])
2,"Detects hash-contained xss payload attacks, setter usage and property overloading","(?:\W\s*hash\s*[^\w\s-])|(?:\w+=\W*[^,]*,[^\s(]\s*\()|(?:\?""[^\s""]"":)|(?:(?<!\/)__[a-z]+__)|(?:(?:^|[\s)\]\}])(?:s|g)etter\s*=)"
2,"Detects self contained xss via with(), common loops and regex to string conversion",(?:with\s*\(\s*.+\s*\)\s*\w+\s*\()|(?:(?:do|while|for)\s*\([^)]*\)\s*\{)|(?:\/[\w\s]*\[\W*\w)
2,"Detects JavaScript with(), ternary operators and XML predicate attacks",(?:[=(].+\?.+:)|(?:with\([^)]*\)\))|(?:\.\s*source\W)
2,Detects self-executing JavaScript functions,"(?:\/\w*\s*\)\s*\()|(?:\([\w\s]+\([\w\s]+\)[\w\s]+\))|(?:(?<!(?:mozilla\/\d\.\d\s))\([^)[]+\[[^\]]+\][^)]*\))|(?:[^\s!][{([][^({[]+[{([][^}\])]+[}\])][\s+"",\d]*[}\])])|(?:""\)?\]\W*\[)|(?:=\s*[^\s:;]+\s*[{([][^}\])]+[}\])];)"
2,"Detects the IE octal, hex and unicode entities","(?:\\u00[a-f0-9]{2})|(?:\\x0*[a-f0-9]{2})|(?:\\\d{2,3})"
2,Detects halfwidth/fullwidth encoded unicode HTML breaking attempts,(?:%u(?:ff|00|e\d)\w\w)|(?:(?:%(?:e\w|c[^3\W]|))(?:%\w\w)(?:%\w\w)?)
2,"Detects possible includes, VBSCript/JScript encodeed and packed functions","(?:#@~\^\w+)|(?:\w+script:|@import[^\w]|;base64|base64,)|(?:\w\s*\([\w\s]+,[\w\s]+,[\w\s]+,[\w\s]+,[\w\s]+,[\w\s]+\))|""(?:.*script.*)""gmi"
2,Detects JavaScript DOM/miscellaneous properties and methods,"([^*:\s\w,.\/?+-]\s*)?(?<![a-z]\s)(?<![a-z\/_@\-\|])(\s*return\s*)?(?:create(?:element|attribute|textnode)|[a-z]+events?|setattribute|getelement\w+|appendchild|createrange|createcontextualfragment|removenode|parentnode|decodeuricomponent|\wettimeout|(?:ms)?setimmediate|option|useragent)(?(1)[^\w%""]|(?:\s*[^@\s\w%"",.+\-]))"
2,Detects possible includes and typical script methods,"([^*\s\w,.\/?+-]\s*)?(?<![a-mo-z]\s)(?<![a-z\/_@])(\s*return\s*)?(?:alert|inputbox|showmod(?:al|eless)dialog|showhelp|infinity|isnan|isnull|iterator|msgbox|executeglobal|expression|prompt|write(?:ln)?|confirm|dialog|urn|(?:un)?eval|exec|execscript|tostring|status|execute|window|unescape|navigate|jquery|getscript|extend|prototype)(?(1)[^\w%""]|(?:\s*[^@\s\w%"",.:\/+\-]))"
2,Detects JavaScript array properties and methods,"([^*:\s\w,.\/?+-]\s*)?(?<![a-z]\s)(?<![a-z\/_@\-\|])(\s*return\s*)?(?:join|pop|push|reverse|reduce|concat|map|shift|sp?lice|sort|unshift)(?(1)[^\w%""]|(?:\s*[^@\s\w%,.+\-]))"
2,Detects JavaScript string properties and methods,"([^*:\s\w,.\/?+-]\s*)?(?<![a-z]\s)(?<![a-z\/_@\-\|])(\s*return\s*)?(?:set|atob|btoa|charat|charcodeat|charset|concat|crypto|frames|fromcharcode|indexof|lastindexof|match|navigator|toolbar|menubar|replace|regexp|slice|split|substr|substring|escape|\w+codeuri\w*)(?(1)[^\w%""]|(?:\s*[^@\s\w%,.+\-]))"
2,Detects JavaScript language constructs,"(?:\)\s*\[)|([^*"":\s\w,.\/?+-]\s*)?(?<![a-z]\s)(?<![a-z_@\|])(\s*return\s*)?(?:globalstorage|sessionstorage|postmessage|callee|constructor|content|domain|prototype|try|catch|top|call|apply|url|function|object|array|string|math|if|for\s*(?:each)?|elseif|case|switch|regex|boolean|location|(?:ms)?setimmediate|settimeout|setinterval|void|setexpression|namespace|while)(?(1)[^\w%""]|(?:\s*[^@\s\w%"".+\-\/]))"
2,"Detects advanced XSS probings via Script(), RexExp, constructors and XML namespaces",(?:=\s*(?:top|this|window|content|self|frames|_content))|(?:\/\s*[gimx]*\s*[)}])|(?:[^\s]\s*=\s*script)|(?:\.\s*constructor)|(?:default\s+xml\s+namespace\s*=)|(?:\/\s*\+[^+]+\s*\+\s*\/)
2,Detects JavaScript location/document property access and window access obfuscation,"(?:\.\s*\w+\W*=)|(?:\W\s*(?:location|document)\s*\W[^({[;]+[({[;])|(?:\(\w+\?[:\w]+\))|(?:\w{2,}\s*=\s*\d+[^&\w]\w+)|(?:\]\s*\(\s*\w+)"
2,Detects basic obfuscated JavaScript script injections,"(?:["".]script\s*\()|(?:\$\$?\s*\(\s*[\w""])|(?:\/[\w\s]+\/\.)|(?:=\s*\/\w+\/\s*\.)|(?:(?:this|window|top|parent|frames|self|content)\[\s*[(,""]*\s*[\w\$])|(?:,\s*new\s+\w+\s*[,;)])"
2,"Detects data: URL injections, VBS injections and common URI schemes","(?:(?:vbs|vbscript|data):.*[,+])|(?:\w+\s*=\W*(?!https?)\w+:)|(jar:\w+:)|(=\s*""?\s*vbs(?:ript)?:)|(language\s*=\s?""?\s*vbs(?:ript)?)|on\w+\s*=\*\w+\-""?"
2,"Detects IE firefoxurl injections, cache poisoning attempts and local file inclusion/execution",(?:firefoxurl:\w+\|)|(?:(?:file|res|telnet|nntp|news|mailto|chrome)\s*:\s*[%&#xu\/]+)|(wyciwyg|firefoxurl\s*:\s*\/\s*\/)
2,Detects bindings and behavior injections,(?:binding\s?=|moz-binding|behavior\s?=)|(?:[\s\/]style\s*=\s*[-\\])
2,Detects common XSS concatenation patterns 1/2,"(?:=\s*\w+\s*\+\s*"")|(?:\+=\s*\(\s"")|(?:!+\s*[\d.,]+\w?\d*\s*\?)|(?:=\s*\[s*\])|(?:""\s*\+\s*"")|(?:[^\s]\[\s*\d+\s*\]\s*[;+])|(?:""\s*[&|]+\s*"")|(?:\/\s*\?\s*"")|(?:\/\s*\)\s*\[)|(?:\d\?.+:\d)|(?:]\s*\[\W*\w)|(?:[^\s]\s*=\s*\/)"
2,Detects common XSS concatenation patterns 2/2,"(?:=\s*\d*\.\d*\?\d*\.\d*)|(?:[|&]{2,}\s*"")|(?:!\d+\.\d*\?"")|(?:\/:[\w.]+,)|(?:=[\d\W\s]*\[[^]]+\])|(?:\?\w+:\w+)"
2,Detects obfuscated script tags and XML wrapped HTML,(?:\<\w*:?\s(?:[^\>]*)t(?!rong))|(?:\<scri)|(<\w+:\w+)|(<;*\w*>*)|(?:.*&lt|&gt|&quot.*)
2,Detects attributes in closing tags and conditional compilation tokens,"(?:\<\/\w+\s\w+)|(?:@(?:cc_on|set)[\s@,""=])"
2,Detects base href injections and XML entity injections,(?:\<base\s+)|(?:<!(?:element|entity|\[CDATA))
2,Detects possibly malicious html elements including some attributes,(?:\<[\/]?(?:[i]?frame|applet|isindex|marquee|keygen|script|audio|video|input|button|textarea|style|base|body|meta|link|object|embed|param|plaintext|xm\w+|image|im(?:g|port)))
2,Detects nullbytes and other dangerous characters,(?:\\x[01fe][\db-ce-f])|(?:%[01fe][\db-ce-f])|(?:&#[01fe][\db-ce-f])|(?:\\[01fe][\db-ce-f])|(?:&#x[01fe][\db-ce-f])
2,Detects unknown attack vectors based on PHPIDS Centrifuge detection,"(?:\({2,}\+{2,}:{2,})|(?:\({2,}\+{2,}:+)|(?:\({3,}\++:{2,})|(?:\$\[!!!\])"
2,Finds attribute breaking injections including obfuscated attributes,"(?:[\s\/""]+[-\w\/\\\*]+\s*=.+(?:\/\s*>))"
2,Finds basic VBScript injection attempts,(?:(?:msgbox|eval)\s*\+|(?:language\s*=\*vbscript))
2,Finds malicious attribute injection attempts and MHTML attacks,"(?:[\s\d\/""]+(?:on\w+|style|poster|background)=[$""\w])|(?:-type\s*:\s*multipart)"
3,Detects basic directory traversal,(?:(?:\/|\\)?\.+(\/|\\)(?:\.+)?)|(?:\w+\.exe\??\s)|(?:;\s*\w+\s*\/[\w*-]+\/)|(?:\d\.\dx\|)|(?:%(?:c0\.|af\.|5c\.))|(?:\/(?:%2e){2})
3,Detects specific directory and path traversal,"(?:%c0%ae\/)|(?:(?:\/|\\).*(home|conf|usr|etc|proc|opt|s?bin|local|dev|tmp|kern|[br]oot|sys|system|windows|winnt|program|%[a-z_-]{3,}%)(?:\/|\\))|(?:(?:\/|\\)inetpub|localstart\.asp|boot\.ini)"
3,Detects etc/passwd inclusion attempts,/(?:etc\/\W*passwd)|(?:.*\.\W*passwd)|(.*passwd.*)|(.*pass\.dat.*)
3,An attacker is trying to locate a file to read or write,(?:(\%SYSTEMROOT\%))
3,Detects config & database files,(?:(config|database|dbase|db)\.\w+.*)|(?:proc\/.*)
